gene,log2FoldChange
CTBP1-AS,-3.087680003
YTHDC2,-3.086663513
CTD-2283N19.1,-3.083146351
RP11-550I24.2,-3.081317787
CNOT6L,-3.079539635
RP11-522B15.3,-3.079271027
RP11-34P13.7,-3.078090881
RP11-175P13.3,-3.077583517
PAPPA,-3.075811309
ZC3H7B,-3.075285649
OR7E12P,-3.073368812
RP5-875O13.1,-3.072722052
FRYL,-3.071732966
RPL9P7,-3.071314925
CDC14A,-3.070703695
USP27X,-3.06969648
RP11-849H4.4,-3.069123598
CYSTM1,-3.06818073
ZNF292,-3.06660496
BTBD3,-3.065912758
RP11-454H19.2,-3.065335827
IL21-AS1,-3.064775909
C11orf54,-3.06460159
SUPT6H,-3.064582
CCDC144A,-3.063622823
FEZ1,-3.06320544
C4orf29,-3.061752263
AC009506.1,-3.061065185
DFNB59,-3.059163306
DNAJC13,-3.058822639
RP4-751H13.7,-3.058170032
RP11-158I9.8,-3.05779322
MAPK10,-3.057787125
C19orf44,-3.05539966
LINC01198,-3.055345225
RAB21,-3.055107091
CWC22,-3.054937483
CHM,-3.054781648
HPR,-3.054230152
RP3-453C12.15,-3.054131839
RP11-62J1.3,-3.052039062
CTR9,-3.050898888
SUCLG2,-3.050640538
RP11-568J23.5,-3.049381139
KIRREL3,-3.047689671
RP11-46H11.3,-3.046293036
SLC1A2,-3.046027687
PVRL3-AS1,-3.04559676
RP13-870H17.3,-3.044314542
EXD3,-3.044258181
SOCS2-AS1,-3.043624294
UNC13B,-3.041950634
P2RX7,-3.041593662
RP11-795F19.5,-3.041193234
CTD-3179P9.2,-3.041172754
OR2C1,-3.041155524
VIM,-3.041122578
RP3-402G11.26,-3.040408079
CTC-241N9.1,-3.03983206
VENTX,-3.039319476
ZNF780B,-3.038876558
RP4-561L24.3,-3.038253577
RPL10A,-3.035993609
EXOC7,-3.035530589
TTC33,-3.035062222
KLHL14,-3.034881681
GS1-44D20.1,-3.034618513
SAR1B,-3.034276932
MUM1,-3.033057595
RP11-804H8.6,-3.03242703
AC006547.13,-3.031909755
RP11-658F2.8,-3.031791706
RP4-678D15.1,-3.03174643
ENPP5,-3.031732153
SCML1,-3.031667208
RP11-401P9.5,-3.031209984
RP11-597D13.9,-3.030839629
TBC1D15,-3.030782933
CYFIP2,-3.029905355
RPS3AP47,-3.02968682
NNT,-3.029128856
HUNK,-3.028370598
NPTX1,-3.028315601
FBXO33,-3.027893868
RP11-378A13.1,-3.027097438
ZDHHC20P1,-3.026905806
SOX7,-3.026040519
DHX29,-3.025340868
TRPC6,-3.025158132
RP11-524D16__A.3,-3.023290492
ABHD6,-3.022130149
TRPM6,-3.022122385
SAP30,-3.020840623
RP11-403A21.1,-3.020738817
TCEB1P19,-3.020406648
CBL,-3.015366167
BTBD10,-3.015176469
RSPH4A,-3.0148261
RP11-1365D11.1,-3.014587098
APOBEC3A,-3.014564222
SLC25A28,-3.014425406
RP11-563J2.2,-3.013834703
RP11-45A17.3,-3.013747657
RN7SL600P,-3.013706839
AC073072.5,-3.01365417
TPRG1,-3.012643876
RP5-1042I8.7,-3.012578151
NDUFA5,-3.012528494
PDCD6IPP1,-3.012244201
RALGPS1,-3.012152161
LYRM9,-3.012133649
IL34,-3.009827489
RP11-121E16.1,-3.009647137
CCDC121,-3.008290929
SYS1-DBNDD2,-3.008216058
DKK1,-3.008144565
RP11-357P18.2,-3.007949816
WWP1,-3.007791369
SNHG23,-3.006562578
C8orf22,-3.006125377
CRMP1,-3.005228015
ABLIM3,-3.005008699
RP11-69E11.4,-3.004996072
NEO1,-3.004517453
CTB-50L17.14,-3.00423332
PRR16,-3.003852841
SIK1,-3.003845339
RP11-131L12.3,-3.002366208
RP11-80P20.3,-3.001687951
SEPW1,-3.001365852
PELI1,-3.001350726
RP11-110I1.5,-3.000685693
RP11-325L12.7,-3.000021133
ARHGEF40,-2.999340942
AC000403.4,-2.997684115
RP11-45M22.2,-2.997488908
CTD-2619J13.3,-2.99696696
ST3GAL5-AS1,-2.994928045
RPL29P11,-2.994732209
MED28,-2.993314386
TLR5,-2.992761182
CCDC92,-2.991985892
PABPC1P7,-2.991942676
CTD-3193K9.11,-2.991810805
MIR600HG,-2.991452293
ADAM1B,-2.991157573
FGF16,-2.991101465
SF3A1,-2.990310131
CCDC9,-2.990060098
RP11-159G9.5,-2.989002591
SF3B1,-2.988844197
MAPK8IP3,-2.988806301
CTC-523E23.4,-2.988526781
AC096772.6,-2.987529238
CDNF,-2.987276748
CLIP2,-2.987230063
DNAL1,-2.986401904
NUDT13,-2.986246815
RP11-215P8.2,-2.984022295
VAMP4,-2.983978137
GDNF,-2.983840558
UNC45B,-2.981011175
EVX1-AS,-2.979935724
SERPINB8,-2.979641039
RP11-796G6.1,-2.978911478
RPL5,-2.977577906
JOSD1,-2.977156818
CERS4,-2.976244258
CTDSP1,-2.975251406
CCDC91,-2.974967679
NIN,-2.974178497
RNF212,-2.973022005
EEF1A1P29,-2.97043284
NFKBIA,-2.969633653
TIMP3,-2.968827638
RPL5P18,-2.967525428
DLG5,-2.967035774
EDIL3,-2.96655317
Z97634.3,-2.965930581
ITK,-2.965563157
HBB,-2.965114618
CLINT1,-2.965096916
EXTL3-AS1,-2.964917186
LINC00961,-2.964462672
CTD-2651B20.3,-2.96328869
LLNLF-158E9.1,-2.963178131
CHD3,-2.961732258
HIVEP1,-2.960756552
RP11-477D19.2,-2.960645172
RP11-378J18.9,-2.960248078
BUD13P1,-2.959857382
CHST7,-2.957817549
SCML4,-2.957797039
PCDH11Y,-2.957717764
HYAL1,-2.957078325
FHOD3,-2.956997486
RP11-65B7.2,-2.955974505
IFFO2,-2.955768103
ACAP1,-2.95494892
CTD-2334D19.1,-2.954703518
KIT,-2.951878038
SLC25A45,-2.951724589
RP11-307L14.2,-2.951078072
RP11-370I10.12,-2.950963455
LUZP1,-2.949525526
BAG1,-2.948695776
ANKRD13A,-2.948401227
BCOR,-2.947455631
MATN1,-2.947416433
HERC2P3,-2.947218342
ITIH4,-2.947139682
ARL6,-2.946912827
ALDH8A1,-2.946527525
GLT8D2,-2.945295032
RP11-290O12.2,-2.944411142
ADAMTSL4,-2.943659365
RBM44,-2.942595099
PROX2,-2.941775506
WSB1,-2.941586838
RP11-2B6.2,-2.939764449
LINC01119,-2.939475202
LINC01347,-2.93792149
ZMAT3,-2.937774663
CCR9,-2.937156181
TRIM4,-2.936130668
SLC9B1,-2.936041379
RBMS3-AS3,-2.935791992
TUBB6,-2.934572641
RP11-650K20.3,-2.93425126
ZNF775,-2.934019605
RP11-676M6.1,-2.933501476
RP11-680C21.1,-2.933241921
RP11-365H22.2,-2.93302563
ACTG1P3,-2.933018386
RP11-67L2.2,-2.931888588
CLDND1,-2.930891704
CD69,-2.930622404
SNCA,-2.929992298
FAM129C,-2.929941314
TNFSF8,-2.929660506
RP11-572P18.1,-2.929573446
ICE2,-2.928517037
ZNF677,-2.927826858
C1orf54,-2.927542119
YBX3,-2.927066884
C5orf42,-2.92702695
RP11-712B9.2,-2.927010431
AZU1,-2.925748535
FMOD,-2.924765525
RP11-574F21.3,-2.924579794
ZNF395,-2.924375462
RP11-366L5.1,-2.924240595
CAB39,-2.923701961
TIAF1,-2.923575791
NME5,-2.923425039
CCDC85B,-2.923408687
KLHL3,-2.922663055
ZNF527,-2.92218163
PHF19,-2.921387985
CTB-50L17.9,-2.920136368
HELZ,-2.919107963
RELA,-2.918781961
SECISBP2,-2.9171759
CALM2P2,-2.916823631
LL0XNC01-116E7.4,-2.916559304
AF064858.8,-2.916138056
RP11-79D8.2,-2.915698083
ASAP3,-2.91443303
RP11-597D13.7,-2.914008631
AC007036.5,-2.912932521
RP11-1070N10.3,-2.912672768
THTPA,-2.912277245
SETD2,-2.912088581
HEPACAM,-2.91046748
COL28A1,-2.909337338
IQGAP2,-2.909222704
C2orf49,-2.907198156
RP11-405M12.4,-2.906946005
RP11-2C24.7,-2.906855947
ABHD17B,-2.905826381
PIWIL4,-2.9057888
LINC00173,-2.905226335
AHCYL2,-2.904416617
RP11-399B17.1,-2.904059849
ANKRD13C,-2.903859787
RP11-321G12.1,-2.903192543
YTHDF3,-2.901479287
RP11-507K2.3,-2.8994356
INTS6,-2.897367407
PRR33,-2.897308208
C1orf101,-2.89706617
WDR82,-2.896334674
CFAP69,-2.895261639
CTBP2P8,-2.894999344
NOD1,-2.894944784
WNT5B,-2.894070824
CLSTN2,-2.893567535
PNPLA8,-2.891154599
COL6A3,-2.890563913
KLHL11,-2.88993218
FGGY,-2.889034597
SLCO2A1,-2.888667113
SLC5A7,-2.888345644
ADRB2,-2.888055394
CTC-444N24.6,-2.887647264
ADAL,-2.88614334
CUL9,-2.88611101
RP11-1223D19.3,-2.884916443
RP11-697E2.9,-2.884902055
ZNF705E,-2.883752533
BCL6B,-2.882931269
GPR63,-2.882569992
KIAA0040,-2.881996327
ZNF654,-2.881616113
AC090044.2,-2.881379479
ZNF559,-2.880695671
RP11-503E24.2,-2.880066343
RNF217,-2.878960551
ZNF788,-2.878626218
DCTN4,-2.87843706
RP11-482H16.1,-2.878308346
MSS51,-2.878125999
CIART,-2.87797067
RP11-468E2.11,-2.877130246
SSH1,-2.876460603
RP11-182J1.13,-2.876407891
AC137934.1,-2.876112752
BRD1,-2.876005988
THAP6,-2.875954495
HNRNPA3P9,-2.874243043
DPF2,-2.874061503
CTD-2248H3.1,-2.873222374
MAN2A2,-2.873107066
TRIM52-AS1,-2.873066415
IPO8P1,-2.871933516
CCR6,-2.871196131
NPIPP1,-2.870980297
RP11-613M10.9,-2.870350943
ARPC4-TTLL3,-2.870301296
EEF1A1P8,-2.869209227
RP11-102L12.2,-2.868369517
LYL1,-2.867687946
ADGRE4P,-2.866174782
MALL,-2.865691763
TPRG1L,-2.865568461
RDH10-AS1,-2.865006598
MCPH1,-2.86489212
SMIM3,-2.864754641
UFL1,-2.864598804
SLC25A34,-2.864450763
FAM83D,-2.864352706
MYEF2,-2.864249685
LOXL3,-2.863712489
RP11-356I2.4,-2.863614914
RASD2,-2.863285671
ARRDC3,-2.862974921
CD226,-2.862636459
LA16c-390H2.4,-2.862368599
KIF17,-2.861291368
AC007952.5,-2.86111619
SMAP2,-2.860771765
FGF17,-2.860123843
SYNGR1,-2.858942347
RP11-62F24.2,-2.858660617
LUC7L3,-2.857974511
POU2F2,-2.857645384
KHDRBS2,-2.856398423
ARMC12,-2.855610363
RPS3AP5,-2.853772627
TERF2IP,-2.853308333
RP11-449D8.1,-2.853146044
ISCA1,-2.851248592
SCGB2B2,-2.850667941
AC009228.1,-2.849983314
LINC00294,-2.849943595
TMEFF2,-2.849872397
NBPF12,-2.849226839
RP11-415F23.3,-2.848347658
LINC00094,-2.847602923
F3,-2.846847817
RCHY1,-2.845970967
IL1R1,-2.845438123
PHKA1,-2.845426368
NOVA2,-2.845302149
FAM106A,-2.843513616
ZNF491,-2.842795205
RHBDL3,-2.842330055
FASTKD2,-2.842290546
SOX8,-2.841895447
TMEM217,-2.841620061
RP11-159D12.2,-2.840328223
ZDHHC2,-2.838722092
ARSK,-2.837953545
MAPRE3,-2.837377005
CYP1B1,-2.837323557
RP4-635E18.8,-2.837175176
RP13-1016M1.2,-2.836673533
RP11-74E24.2,-2.836385161
LINC00907,-2.835344387
BBS7,-2.835006534
ZNF75D,-2.834347168
RP11-10K16.1,-2.833707886
RAMP2,-2.832619853
SQSTM1,-2.829946972
RP11-690I21.2,-2.829684701
BRAF,-2.829429358
ZNF770,-2.828865132
CTD-2561B21.11,-2.827664347
KIAA0125,-2.827142047
SMARCC2,-2.82655152
SEC22C,-2.826300821
RP11-748H22.1,-2.825546458
OAF,-2.825482177
RNASEL,-2.824517962
BTBD9,-2.822933505
CHRDL2,-2.822302919
APBA1,-2.822023558
RP11-467H10.2,-2.821687348
ATP6V0A1,-2.821434573
MDM4,-2.821245977
MRO,-2.819886454
TOPORS,-2.818941911
SGSM1,-2.815908353
BTBD8,-2.815850206
RP11-676J12.6,-2.815739826
RP11-540B6.6,-2.815214876
USP15,-2.815118917
RP11-138A9.2,-2.814505308
RP11-474I16.8,-2.814451233
PCBD2,-2.814267752
SERHL2,-2.812969892
TGOLN2,-2.812843011
U2AF1L4,-2.812477948
KPNA4,-2.812301448
RP11-341N2.1,-2.811931557
CTD-2306A12.1,-2.810755122
ERBB2IP,-2.810001017
RP11-266J6.2,-2.809909204
RP11-297N6.4,-2.809398635
AC005253.2,-2.808853461
AC093627.9,-2.808762537
ADRA1A,-2.808515128
AC005481.5,-2.808445315
HIVEP2,-2.806806171
CYB5RL,-2.80678036
TANK,-2.806672829
MOB3A,-2.806171443
CTD-2007L18.5,-2.80537136
MTHFS,-2.80516083
IMMP2L,-2.80502201
AC005336.5,-2.804323521
FAM13A-AS1,-2.804177481
TIRAP,-2.804095152
COPS8,-2.804046128
AHNAK2,-2.803934283
PLCG1-AS1,-2.803334046
SLCO1C1,-2.802937934
NPDC1,-2.802661248
RP11-23P13.6,-2.802132503
THSD7B,-2.801793782
RPL26P19,-2.798962806
RP11-504P24.3,-2.79890285
SHROOM4,-2.798528188
PPIG,-2.798037508
WASH5P,-2.797997065
FOXI2,-2.796898506
AL023806.1,-2.796858925
C10orf142,-2.796342546
RP11-225H22.4,-2.796119378
NALCN,-2.795985203
THG1L,-2.795772162
KAT6A,-2.795288657
BTRC,-2.793633934
STXBP3,-2.793603331
ARIH2,-2.793506768
NEDD9,-2.793384944
RN7SKP23,-2.793202821
CD1D,-2.792956439
MRPS27,-2.792723058
MTMR7,-2.792504177
ALG13,-2.792231933
RP11-761E20.1,-2.791938711
RNF111,-2.791836484
CHRNA7,-2.790990388
FIBIN,-2.790951897
ZFHX4-AS1,-2.790011392
NPIPA3,-2.789826269
MAGED2,-2.789515345
TCTE1,-2.788567995
PDE12,-2.788373607
PDS5B,-2.788335121
G3BP2,-2.787243427
SKIV2L2,-2.786650081
OSMR,-2.786436315
RIPK1,-2.78630921
AC018804.7,-2.785513849
HRASLS5,-2.78200496
RP11-411A19.5,-2.779251674
RP11-283I3.6,-2.777961454
TRIM56,-2.777034676
RP11-295P9.3,-2.775991929
STAG3L4,-2.775536925
FAM171A1,-2.775450454
IPP,-2.775177625
ANGPT4,-2.774746102
RP11-91J19.2,-2.774740547
IGFBP2,-2.774509956
LINC00982,-2.774229672
KCNJ11,-2.773159267
RP11-350N15.4,-2.772971472
GSPT2,-2.772755394
C1orf229,-2.772609401
CCR4,-2.772098696
C4orf32,-2.770962377
SIGLEC22P,-2.770614006
ALLC,-2.770284308
LIMS3L,-2.769547339
RAD52,-2.768955294
HIPK2,-2.768646374
RP11-88E10.4,-2.768392056
ASPG,-2.76823401
RP11-227G15.11,-2.768028729
RAD21-AS1,-2.767607925
FLT4,-2.766059803
RIMS1,-2.765455176
HADHB,-2.764607144
PENK,-2.764254251
RPL10AP6,-2.763930523
KLHL4,-2.76324092
CNR2,-2.763204583
RNF214,-2.763126625
LINC00114,-2.76297401
AC007256.5,-2.762874417
RPS4XP14,-2.762218448
NLRP12,-2.761803435
LINC00863,-2.761634201
AC006116.27,-2.76162173
ABCB7,-2.761568152
OIP5-AS1,-2.761477875
FAM223A,-2.761216461
URB1,-2.760826088
UEVLD,-2.760766855
CYP2D8P,-2.760637165
SERPINA3,-2.759847162
TREH,-2.759020663
EEF1A1P22,-2.758981532
CTNNA2,-2.757797143
KMT2D,-2.75757128
ZBTB1,-2.756988108
RP3-461P17.10,-2.756244253
RAD50,-2.756146303
EXOC3,-2.754758692
ABHD13,-2.754686364
L3HYPDH,-2.753832979
TFPI,-2.753783631
TRAPPC6B,-2.752384711
ZNF37A,-2.752078152
RP11-535M15.2,-2.751864258
RP11-287D1.3,-2.75141879
RP11-309L24.6,-2.74934093
CTD-2541M15.3,-2.749163256
RGP1,-2.747700308
HMGN2P15,-2.747025835
COL4A3,-2.745962891
FBLN1,-2.745823104
CD300LB,-2.745661289
XPC,-2.745517342
NEMF,-2.745446857
RUFY1,-2.744557667
LARP7,-2.743890148
CAPRIN2,-2.74349887
RP11-585P4.6,-2.741597184
MAF,-2.740966966
NXPE2,-2.740236563
MSRA,-2.740022306
SDE2,-2.739531046
RP11-332H18.3,-2.739505202
KDSR,-2.739231572
RP1-37E16.12,-2.739121612
AC087163.2,-2.738902102
COPS2,-2.738776846
RP11-401P9.6,-2.737938215
BAG5,-2.737612719
RP1-134E15.3,-2.737069877
DBH,-2.73549248
LAT,-2.734847889
C6orf25,-2.734202877
LINC00675,-2.734093403
SYNDIG1L,-2.73329412
GNAI1,-2.733288664
IRF2BPL,-2.732609219
AC096574.4,-2.732525722
CDH17,-2.731645383
RP11-472B18.1,-2.730281306
TTN,-2.729738556
CTD-2135J3.3,-2.729490301
FBXO11,-2.728958709
KIF25,-2.728268006
RP13-977J11.2,-2.728205994
MCPH1-AS1,-2.727600899
RP11-196G11.2,-2.727204718
JMJD7-PLA2G4B,-2.726327184
ZNF594,-2.725831861
ALDH1L1,-2.72495887
NMNAT3,-2.723063109
ZNF354B,-2.722349803
FAM156A,-2.722269833
ARL2BP,-2.719747011
BACE1-AS,-2.719446156
RP5-1050D4.5,-2.719214026
ARAP1-AS2,-2.719002314
FRMD6,-2.71774963
CTB-33G10.1,-2.715149705
ARL4D,-2.714497642
NTNG2,-2.714332503
MERTK,-2.714256041
ATP2A3,-2.713449679
HNRNPH1,-2.7128733
LRRTM4,-2.712435375
MRGPRD,-2.711959057
CTD-2240E14.4,-2.711126787
SLC1A1,-2.710852485
HADHA,-2.710251893
NR2E3,-2.709862288
P2RY1,-2.708854091
FCMR,-2.708444634
HSPD1P11,-2.70837383
KIF1BP,-2.708061035
HOTAIR,-2.708015243
CREB3L1,-2.707809835
RP11-89C3.4,-2.707218275
LIAS,-2.707191082
SLU7,-2.706515625
CPB1,-2.706084815
RIMKLB,-2.705511667
SLC9A8,-2.704958235
LA16c-358B7.3,-2.704316643
RP3-469D22.1,-2.703568097
HLA-F-AS1,-2.702950277
RP11-545I5.3,-2.702502595
CISD1,-2.702102347
RPRM,-2.701890608
FAM20C,-2.700807849
RP11-81A22.4,-2.700335839
HNRNPH2,-2.700033967
SH3BP5-AS1,-2.698383323
RPL21P11,-2.696165145
RP11-110I1.11,-2.695415684
ADAMTS16,-2.694540699
MPRIPP1,-2.693382412
PDCD4-AS1,-2.692090976
APOB,-2.691517251
TMEM242,-2.690671605
PHC2,-2.690349082
CUL5,-2.690241155
TSSC2,-2.690239697
RP11-218L14.4,-2.689001746
RSPH3,-2.687916157
RP11-53B2.3,-2.687444469
RP11-632L2.2,-2.687146854
RP11-513M16.7,-2.685207733
EEA1,-2.684958437
BCL9L,-2.684182444
BAHD1,-2.683686063
ETS1,-2.683037546
SUGP2,-2.682820277
CTD-2015B23.2,-2.680955068
RP11-147L13.14,-2.680761249
ARMCX3,-2.680514352
MMP2,-2.680297552
CICP16,-2.679087231
RP11-632P5.1,-2.677967651
ANKRD36,-2.677542018
EVI5L,-2.677375097
RP11-388M20.1,-2.67609561
TAS2R20,-2.676072955
CADPS,-2.675776638
ANKS1A,-2.67565655
CNTNAP3P2,-2.674300096
URGCP,-2.674043217
RP11-600F24.7,-2.671189181
MAML3,-2.671065242
GS1-124K5.2,-2.669685471
IPO11,-2.668712318
PWWP2A,-2.667877842
ZNF649,-2.667826954
PSKH1,-2.667759117
AC012358.8,-2.667569698
VWFP1,-2.666919348
DYNC1H1,-2.666819167
ZNF404,-2.665768476
PLEKHA2,-2.665763086
PIGP,-2.665205314
MAP3K2,-2.664107926
LTB,-2.663649547
APLF,-2.661208216
LRRC4C,-2.66027304
STX16,-2.66021812
ZSCAN16-AS1,-2.658835861
BMPR1APS2,-2.65788883
CTC-510F12.4,-2.657183813
SORCS3,-2.656934756
SNX3,-2.656616944
NFE2L1,-2.656597341
RP11-513O13.1,-2.656539834
POLI,-2.656164449
ACVR1,-2.653648713
NME9,-2.652752326
SPOPL,-2.652565335
MEOX2-AS1,-2.652510372
ANKRA2,-2.651998244
ADAMTS13,-2.651076037
TRPM7,-2.650888078
FAM179A,-2.650499989
HMGN3-AS1,-2.650307219
SPIN3,-2.649130616
CTD-2303H24.2,-2.648047623
TMEM236,-2.647796157
ZFP36L2,-2.646734449
HRNR,-2.645182747
GOLGA8B,-2.644479749
ADPRH,-2.643871686
AC007228.11,-2.642459497
KLHL29,-2.642369999
C21orf2,-2.642255887
LINC01451,-2.64217825
AQP3,-2.641507933
GLB1L,-2.641380611
OVOL1,-2.640473805
PPP2R2B,-2.639571323
CORO7-PAM16,-2.63938655
TESPA1,-2.639018886
EIF5B,-2.638826158
IDNK,-2.638739752
ATP2A2,-2.638492506
ZNF236,-2.638115649
SSPO,-2.637968427
ACADM,-2.637756626
RP1-101K10.6,-2.636751194
FAM196A,-2.636605515
PSMD10P1,-2.636445082
FGD4,-2.63595769
RP11-75A9.3,-2.635051045
AC004471.10,-2.633937968
CSRP2,-2.6331471
KHNYN,-2.632513995
ZCCHC5,-2.630813304
ACTG1P10,-2.630800669
SNAPC2,-2.630445814
RP11-186B7.4,-2.6301121
TBC1D25,-2.629088667
BCL2L13,-2.628798998
RPP14,-2.62867802
FAM92A1P1,-2.62815232
FAM20B,-2.627127032
ICAM2,-2.626997783
TTN-AS1,-2.626235692
GLIPR1,-2.626219096
PPP2R2A,-2.62453445
TULP1,-2.624476812
RP11-118K6.3,-2.624014494
PRPH2,-2.6229973
RWDD2A,-2.622964147
P2RY8,-2.621290081
RP11-386I14.4,-2.621070899
SPTY2D1,-2.620724351
CTF1,-2.620636981
RPS6KA3,-2.620204419
RP4-761J14.10,-2.619404853
UBXN10-AS1,-2.619150664
AK6,-2.618116806
RP11-338K17.10,-2.616880131
TRO,-2.61670945
RP11-154D6.1,-2.61645634
SRR,-2.615897743
CD8BP,-2.615737779
ZNF304,-2.615048832
PSMD5-AS1,-2.612756496
CCDC28A,-2.611745994
RP11-295M3.4,-2.610948784
MGC16275,-2.609768368
RP11-666A8.9,-2.609756625
UTP14C,-2.60974942
TMEM56-RWDD3,-2.608543124
THPO,-2.608102533
RASGRF2,-2.607889812
SLC25A21,-2.607081113
LA16c-380A1.2,-2.606492671
GPATCH8,-2.604016146
RP11-46C24.7,-2.603786185
PACS2,-2.602856439
AKAP10,-2.602185942
LINC00909,-2.602123903
CFAP36,-2.600801751
BX322557.10,-2.600392091
C9orf156,-2.599982795
CCDC159,-2.599955351
CCDC170,-2.599913752
DPYD,-2.599514335
GATSL3,-2.597920622
NSMAF,-2.596515594
KLHDC8B,-2.594175889
TSSK3,-2.593637051
ELP3,-2.59320632
FNDC5,-2.588790962
CHPT1,-2.588589747
LRCOL1,-2.588457407
NAB2,-2.585941654
TCF23,-2.585511359
MRPL3P1,-2.584570371
RP11-697N18.3,-2.583277381
ZNF132,-2.58206806
PRH1-PRR4,-2.581587575
AC105760.2,-2.580809375
API5P1,-2.580000362
RP11-452L6.7,-2.578729479
NPFFR1,-2.578698395
STX11,-2.578664868
MGRN1,-2.578354632
ADAM28,-2.578067088
TOB1,-2.577654719
PIK3R5,-2.57660224
SORT1,-2.576450523
SPRED1,-2.576128784
COQ7,-2.575428164
RP5-1153D9.5,-2.574980758
IGBP1,-2.574226627
MRFAP1,-2.573230296
RPL12P4,-2.572919723
EEF1A1P7,-2.57183937
RPS3A,-2.56886965
TGM2,-2.568633821
OGFRL1,-2.567601249
LMF1,-2.567021217
GNA12,-2.566691495
LINC00671,-2.566495476
RASGRF2-AS1,-2.566317556
RP11-317J9.1,-2.566066539
HDHD2,-2.563997459
IL5RA,-2.562308502
NGFR,-2.562064938
CTNNA1,-2.56189617
GPR171,-2.561312971
CD163,-2.559505805
ID3,-2.556029584
RPL9,-2.555374055
AC114730.11,-2.553514637
AQP7,-2.553371411
MANEA-AS1,-2.551832902
KCNJ2-AS1,-2.55164842
CTC-360G5.9,-2.551514602
MAPK1,-2.550279395
MAST4,-2.550005519
USO1,-2.548108773
WBP2,-2.547551945
MORC3,-2.547360384
DHFRL1,-2.54694037
LINC01118,-2.545745842
PALD1,-2.545520612
ECD,-2.544021801
EIF4BP3,-2.543855383
SIGLEC8,-2.543502913
RP11-45M22.3,-2.543390785
SMIM17,-2.542087265
MADD,-2.541886873
PPWD1,-2.540483619
AC010761.13,-2.540066154
GLTSCR2-AS1,-2.53954612
SRSF11,-2.537854868
LINC00365,-2.537789991
PIAS2,-2.537477414
AQR,-2.537474356
FAHD2B,-2.537218206
FAM127A,-2.536417002
RP11-213H15.1,-2.535055596
AC125232.1,-2.534081212
DGCR12,-2.533091376
HERC3,-2.532761433
IL17RC,-2.531399958
FAM214A,-2.529828018
NAV1,-2.529559884
ZNF852,-2.529269831
CYSLTR1,-2.529019158
RP11-274H2.5,-2.527697915
PRAC2,-2.526520223
GVINP1,-2.526499327
RPS13,-2.523684579
RP11-530C5.4,-2.522586689
BHLHE40,-2.521286988
AC003002.6,-2.52096941
NRN1,-2.520394335
AP000320.7,-2.518158493
CCL19,-2.518118784
SH3GLB1,-2.517708168
MAP3K5,-2.515902164
TTLL3,-2.515260647
SORCS2,-2.515174447
CD1E,-2.512711072
DCANP1,-2.51255626
IKBKB,-2.512408875
GNG2,-2.512073115
IGF1R,-2.511874118
PCGF7P,-2.510753078
GYG2,-2.509513466
FGFR4,-2.509326487
C7orf55-LUC7L2,-2.50883149
NAP1L4P1,-2.507390174
RP4-791C19.1,-2.507320124
CSNK1A1,-2.506753739
ARGLU1,-2.506625026
MED23,-2.505379058
CTBP2,-2.50506851
AC007950.2,-2.504864751
C9orf24,-2.50417723
C5orf56,-2.503662446
PCMTD1,-2.503546353
AC058791.1,-2.501690299
CRB1,-2.500717444
TRAPPC8,-2.500411816
DNAJC19P5,-2.500179388
RAB28P5,-2.499761249
GRIA4,-2.499501378
FAUP1,-2.499402733
RPRD2,-2.498555961
RP3-394A18.1,-2.498171196
CTD-2260A17.1,-2.497796046
THRSP,-2.497695051
NXN,-2.497645685
NEDD4,-2.497243966
TROVE2,-2.497044438
ST13P18,-2.496249051
HRCT1,-2.495445963
INTS10,-2.494504875
BOLA3-AS1,-2.494049613
ROBO3,-2.493919663
SAMD14,-2.492728663
CTNNAL1,-2.491682677
FLG-AS1,-2.491305836
TSC22D1-AS1,-2.490856896
IKBKAP,-2.489637839
RP11-454F8.4,-2.489081329
ZFP3,-2.488759295
DNAJB9,-2.488552992
FARP2,-2.488531015
RP11-1280N14.3,-2.488045031
CCT6B,-2.487500887
CAB39L,-2.486176421
RP11-331F4.5,-2.485555883
MOBP,-2.484554352
RP11-346C20.3,-2.48422708
RP11-20O24.4,-2.483212051
RP3-400B16.1,-2.482899475
RP11-206L10.2,-2.482877222
ITGB1,-2.482862425
RAB40B,-2.482473526
AC068580.6,-2.482401786
STX1B,-2.482301782
RP11-231I16.1,-2.481459239
AREG,-2.480935188
ANKRD37,-2.480918916
LA16c-312E8.4,-2.480823785
RP11-79P5.10,-2.48063609
GOLGA2P10,-2.479796409
XXbac-B444P24.13,-2.479463172
AC009120.3,-2.479165161
PEX1,-2.478736245
ZNF808,-2.477975364
RP11-295D4.3,-2.477952837
ZBTB37,-2.477173956
SLC16A11,-2.476948289
USP4,-2.47681273
RP5-855D21.2,-2.475873738
RP11-322E11.5,-2.47326456
SMPD1,-2.472500719
COX4I2,-2.472320089
RYK,-2.472253533
INTS3,-2.472182082
CHSY1,-2.472097126
CD19,-2.471882142
PARP3,-2.471629652
LINC01220,-2.471621649
ST7L,-2.47148997
ATF2,-2.47120314
ECE1,-2.470590966
TRDMT1,-2.470456888
RP11-54C4.3,-2.470449363
COG1,-2.469276596
RP11-44F14.7,-2.469121485
ZNF397,-2.468123494
RP11-596C23.2,-2.467976479
RP11-488C13.6,-2.467840541
MT-ND6,-2.467429483
GRTP1-AS1,-2.46637302
